 ,X,Y
1,4456.0,2007.0
2,4904.0,1103.0
3,5312.0,903.0
4,6752.0,999.0
5,6864.0,719.0
6,6952.0,767.0
7,4653.0,3258.0
8,4935.0,3096.0
9,3681.0,3696.0
10,3771.0,3606.0
11,3045.0,3342.0
12,2967.0,3810.0
13,2355.0,3768.0
14,2673.0,1668.0
15,3993.0,1968.0
16,4785.0,2082.0
17,4053.0,2208.0
18,3987.0,4062.0
19,4135.0,4370.0
20,3499.0,4334.0
21,3799.0,4426.0
22,4719.0,4962.0
23,4751.0,5134.0
24,5981.0,5920.0
25,6125.0,6336.0
26,6285.0,6712.0
27,6341.0,6928.0
28,6997.0,7392.0
29,8413.0,7616.0
30,6405.0,8416.0
31,6621.0,8808.0
32,8165.0,8584.0
33,7381.0,8928.0
34,9869.0,9968.0
35,11029.0,11928.0
36,9285.0,12096.0
37,5688.0,13352.0
38,9288.0,11544.0
39,8768.0,12224.0
40,8488.0,11776.0
41,6328.0,13447.0
42,6472.0,13575.0
43,6504.0,13375.0
44,5944.0,12719.0
45,6376.0,11183.0
46,9872.0,12423.0
47,9968.0,10543.0
48,8480.0,8903.0
49,7440.0,1975.0
50,7888.0,2191.0
51,5240.0,2487.0
52,3648.0,1767.0
53,3792.0,2111.0
54,6072.0,8575.0
55,5264.0,8335.0
56,7486.0,5759.0
57,7424.0,2336.0
58,7270.0,3348.0
59,5122.0,1500.0
60,8602.0,12819.0
61,8266.0,12099.0
