 ,X,Y
1,4576.0,1835.0
2,5152.0,1043.0
3,5328.0,859.0
4,6760.0,1059.0
5,6936.0,763.0
6,7072.0,907.0
7,4490.0,3113.0
8,4730.0,2963.0
9,3314.0,3425.0
10,3542.0,3473.0
11,3020.0,3119.0
12,2870.0,3587.0
13,2280.0,3497.0
14,2760.0,1595.0
15,4086.0,1889.0
16,4860.0,1955.0
17,4098.0,2021.0
18,3814.0,3787.0
19,3966.0,4171.0
20,3374.0,4075.0
21,3710.0,4399.0
22,4498.0,4787.0
23,4510.0,4955.0
24,5678.0,5797.0
25,5614.0,6181.0
26,5950.0,6453.0
27,5942.0,6789.0
28,6574.0,7309.0
29,7998.0,7661.0
30,5958.0,8197.0
31,5958.0,8653.0
32,7542.0,8637.0
33,6950.0,8861.0
34,9044.0,10493.0
35,9780.0,12341.0
36,7996.0,12229.0
37,4260.0,12749.0
38,8116.0,11653.0
39,7436.0,12325.0
40,7232.0,11905.0
41,4880.0,12955.0
42,4946.0,13015.0
43,4952.0,12937.0
44,4568.0,12133.0
45,5624.0,10807.0
46,8576.0,12691.0
47,8996.0,10843.0
48,7742.0,8965.0
49,7442.0,2011.0
50,7904.0,2317.0
51,5328.0,2172.0
52,3572.0,1717.0
53,3818.0,1993.0
54,5540.0,8281.0
55,4700.0,8029.0
56,7188.0,5700.0
57,7368.0,2388.0
58,7152.0,3396.0
59,5268.0,1440.0
60,7256.0,12775.0
61,6896.0,12247.0
